Title,Media URL,Pinterest board,Thumbnail,Description,Link
"Snug Harbor — Santa Monica, CA","https://fastly.picsum.photos/id/600/800/1200.jpg?hmac=kCYzFK_GMyh1-8sfvpmm8d82RGLk567ggn4zsqPpTp0","loopref/venue",,"Visit Snug Harbor in Santa Monica, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #SantaMonica","https://loopref.com/places/venue/?slug=snug-harbor-santa-monica"
"Sra. Martinez — Miami, FL","https://fastly.picsum.photos/id/736/800/1200.jpg?hmac=m2TMQc7t774qcS78y4MDnMCJN4Sr7XzldwHncQFE5HY","loopref/venue",,"Visit Sra. Martinez in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Miami","https://loopref.com/places/venue/?slug=sra-martinez-miami"
"Tacotlan — Chicago, IL","https://fastly.picsum.photos/id/643/800/1200.jpg?hmac=eJZ8xCftSFGKKigGkiJfyFI3IFcdiZYG-jeF-wl8vbs","loopref/venue",,"Visit Tacotlan in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Mexican #Chicago","https://loopref.com/places/venue/?slug=tacotlan-chicago"
"Tam O'Shanter — Los Angeles, CA","https://fastly.picsum.photos/id/715/800/1200.jpg?hmac=mRbhaoHCP7AWJUyPD_KkuBLzOUhEzkjqx65g9bsTnec","loopref/venue",,"Visit Tam O'Shanter in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LosAngeles","https://loopref.com/places/venue/?slug=tam-oshanter-los-angeles"
"The Derby Restaurant — Arcadia, CA","https://fastly.picsum.photos/id/360/800/1200.jpg?hmac=G86M9QNkx4DfWulWMKscPwiJfk7qs-snM7MG1GE_MB0","loopref/venue",,"Visit The Derby Restaurant in Arcadia, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Arcadia","https://loopref.com/places/venue/?slug=the-derby-restaurant-arcadia"
"The Rock Inn — Lake Hughes, CA","https://fastly.picsum.photos/id/784/800/1200.jpg?hmac=pwMmZgBB2k-wNeWHXutSM4ANnkHw9i4-8CEANbVwZHE","loopref/venue",,"Visit The Rock Inn in Lake Hughes, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LakeHughes","https://loopref.com/places/venue/?slug=the-rock-inn-lake-hughes"
"The Saugus Cafe — Santa Clarita, CA","https://fastly.picsum.photos/id/919/800/1200.jpg?hmac=BHNa2E55tej6VHWLTOm3ovIXKiZNc1Ho0mz5wyBEpxk","loopref/venue",,"Visit The Saugus Cafe in Santa Clarita, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #SantaClarita","https://loopref.com/places/venue/?slug=the-saugus-cafe-santa-clarita"
"The Smoke House Restaurant — Burbank, CA","https://fastly.picsum.photos/id/126/800/1200.jpg?hmac=Jbh00bOo20i2Vg72fXTRxDtzHm3i3bs1TTz1xD0gZxc","loopref/venue",,"Visit The Smoke House Restaurant in Burbank, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Burbank","https://loopref.com/places/venue/?slug=the-smoke-house-restaurant-burbank"
"Tony's Di Napoli — New York, NY","https://fastly.picsum.photos/id/667/800/1200.jpg?hmac=MYzj0EP3bWEdImiETXOa6GuiTxIzb7ZeU98_WXLu-jM","loopref/venue",,"Visit Tony's Di Napoli in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Italian #NewYork","https://loopref.com/places/venue/?slug=tonys-di-napoli-new-york"
"Twin Anchors — Chicago, IL","https://fastly.picsum.photos/id/128/800/1200.jpg?hmac=dprDN-6li8IU45O0IDqnfrBlekMu_272a17nSm8LYoU","loopref/venue",,"Visit Twin Anchors in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #BBQ #Chicago","https://loopref.com/places/venue/?slug=twin-anchors-chicago"
"Veniero's Pasticceria & Caffe — New York, NY","https://fastly.picsum.photos/id/591/800/1200.jpg?hmac=UmrqmpE9p14bhicazR_6WWAkF2ISlbTZXRJOMj9YM9k","loopref/venue",,"Visit Veniero's Pasticceria & Caffe in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Bakery #NewYork","https://loopref.com/places/venue/?slug=venieros-pasticceria-caffe-new-york"
"Zaro's Family Bakery — New York, NY","https://fastly.picsum.photos/id/73/800/1200.jpg?hmac=GYSVhGyhcCPWEdQDsOBTmciGAtBOleui3fqIF8MNvi4","loopref/venue",,"Visit Zaro's Family Bakery in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Bakery #NewYork","https://loopref.com/places/venue/?slug=zaros-family-bakery-new-york"
"Zitz Sum — Miami, FL","https://fastly.picsum.photos/id/1011/800/1200.jpg?hmac=pK8pypzS2_kZ56p5zarDrOUnM3SIhX2iFUuZCgj6lic","loopref/venue",,"Visit Zitz Sum in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Chinese #Miami","https://loopref.com/places/venue/?slug=zitz-sum-miami"
